Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
010-000000772,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
010-000000403,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
010-000000342,Major,138-System Maintenance,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,0.211
010-000000469,Non Major,045-Criminal Investigation and Surveillance,115-Law Enforcement,1-Services for Citizens,543-Workgroup / Groupware,722-Organizational Management,7-Service Types and Components,0,0.06
010-000000357,Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,678-System Resource Monitoring,765-Systems Management,7-Service Types and Components,100,2.3138
010-000000094,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,627-Revenue Management,753-Financial Management,7-Service Types and Components,0,0.0
010-000000557,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,603-Data Warehouse,751-Data Management,7-Service Types and Components,220,0.04
010-000000292,Major,022-Energy Production,107-Energy,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.525
010-000000062,Major,128-Asset and Liability Management,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,0,0.0
010-000000315,Major,124-Accounting,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
010-000000364,Non Major,017-Cultural and Historic Preservation,106-Education,1-Services for Citizens,633-Asset Cataloging / Identification,754-Asset / Materials Management,7-Service Types and Components,0,0.0
010-999990378,Funding Contribution,113-Public Comment Tracking,306-Regulatory Development,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.0
010-000000567,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
010-000000155,Non Major,128-Asset and Liability Management,402-Financial Management,4-Management of Government Resources,632-Property / Asset Management,754-Asset / Materials Management,7-Service Types and Components,500,0.593
010-000000291,Non Major,128-Asset and Liability Management,402-Financial Management,4-Management of Government Resources,632-Property / Asset Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
010-000000492,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,557-Logistics and Transportation,724-Supply Chain Management,7-Service Types and Components,0,0.117
010-000000367,Non Major,259-Budget and Performance Integration,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,613-Time Reporting,752-Human Resources,7-Service Types and Components,510,1.1721
010-999990389,Funding Contribution,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,600,0.0
010-000000308,Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
010-000000365,Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,633-Asset Cataloging / Identification,754-Asset / Materials Management,7-Service Types and Components,0,0.0
010-000000299,Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
010-000000945,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,559-Content Review and Approval,731-Content Management,7-Service Types and Components,220,0.0
010-000000556,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.1
010-000000018,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
010-000000295,Major,101-Budget Formulation,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,510,0.0
010-000000168,Non Major,021-Energy Resource Management,107-Energy,1-Services for Citizens,632-Property / Asset Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
010-000000366,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,0.0
010-000000496,Non Major,017-Cultural and Historic Preservation,106-Education,1-Services for Citizens,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
010-000000394,Non Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,601-Data Exchange,751-Data Management,7-Service Types and Components,510,0.0
010-000000458,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.0
010-000000113,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
010-000000174,Non Major,261-Cost Accounting / Performance Measurement,402-Financial Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,500,0.0
010-000000415,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
010-000000480,Non Major,105-Budget Execution,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,623-Expense Management,753-Financial Management,7-Service Types and Components,510,0.161
010-000000774,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,0.0
010-000000502,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
010-000000103,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.05
010-000000226,Major,021-Energy Resource Management,107-Energy,1-Services for Citizens,637-Legacy Integration,755-Development and Integration,7-Service Types and Components,0,3.015
010-999990707,Non Major,144-Inventory Control,405-Supply Chain Management,4-Management of Government Resources,632-Property / Asset Management,754-Asset / Materials Management,7-Service Types and Components,0,0.159
010-000000577,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.028
010-000000479,Non Major,126-Payments,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,0.0
010-000000166,Non Major,058-Recreational Resource Management and Tourism,117-Natural Resources,1-Services for Citizens,606-Extraction and Transformation,751-Data Management,7-Service Types and Components,0,0.0
010-000000293,Non Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.024
