"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Agency Baseline Capability","Target 2018 PY","Target 2019 CY","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
010-000000578,851,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","NPS - PPFL - Enterprise Facility Management Software System",1967,,"Percent of the time Maximo is up and running during the normal work week (Mon - Fri)",Percent,"2 - Strategic and Business Results",,90.000000,90.000000,"Over target",Monthly,"010SO18255 - Prioritize DOI infrastructure needs and reduce deferred maintenance backlog",240165,,100.000000,"This metric was derived from system reliability data for February 2019.  Baseline is figure reported in 2010.  February actuals meet performance metric target.  ",2019-03-01,n,2018-09-18,16:50:17
010-000000578,851,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","NPS - PPFL - Enterprise Facility Management Software System",1968,,"Percent of Maximo downtime that is due to unplanned outages (hardware, software, unplanned maintenance, and power failures)",Percent,"2 - Strategic and Business Results",,5.000000,5.000000,"Under target",Monthly,"010SO18255 - Prioritize DOI infrastructure needs and reduce deferred maintenance backlog",240166,,0.000000,"This metric was derived from system reliability data for February 2019.  Baseline is figure reported in 2010.  February actuals meet the performance metric target. ",2019-03-01,n,2018-09-18,16:50:17
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",2716,"	3956","Improve percentage of 6 month time-to-decision for proposals",Months,"2 - Strategic and Business Results",,,,"Over target",Semi-Annual,,134109,"	170176",100.000000,,2015-04-17,y,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",2717,"	3960","% of Recommendation of Awards processed electronically in EJacket",Percent,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Monthly,,148363,"	170603",100.000000,,2015-08-27,y,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",2718,"	3958","% of electronic correspondence for Project Reports and Cost Share",Percent,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Monthly,,99541,"	169543",100.000000,,2014-07-21,y,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",2719,"	3957","Reduce number of days to process customer financial transactions",Days,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,89531,"	169397",100.000000,,2014-04-03,y,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",2720,"	3959","Maintain % of Electronic Funds Transfer Certifications",Percent,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,134113,"	170179",100.000000,,2015-04-24,y,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",6211,"	79685","% of tickets escalated to Tier III Customer Support",Percent,"1 - Customer Satisfaction (Process Results)",,,,"Under target",Semi-Annual,,187202,"	171972",9.430000,,2017-04-26,,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",6213,"	79686","On-time delivery of software products",Percent,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,89537,"	169396",100.000000,,2014-04-28,y,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",20081,"	169635","Maintenance Cost Variance from Planned Spend",Percent,"3 - Financial Performance",,,,"Under target",Semi-Annual,,187203,"	171973",9.650000,,2017-04-26,,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",23700,"	170659","% of Proposal Data Archived",Percent,"2 - Strategic and Business Results",,,,"Over target",Annual,,174046,"	171596",0.000000,,2016-10-18,y,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",23701,"	170657","Notice of interruption to Public Access system availability within agreed upon timeframe",Percent,"2 - Strategic and Business Results",,,,"Over target",Annual,,174047,"	171587",100.000000,,2016-10-06,,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",23702,"	170658","Improve technology, tools, functionality, and/or business processes",Number,"2 - Strategic and Business Results",,,,"Over target",Monthly,,206074,"	172256",0.000000,,2017-07-25,,2017-11-07,15:50:51
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",25927,"	172028","Percentage of proposals checked by Automated Proposal Compliance Validation",Percent,"2 - Strategic and Business Results",,95.000000,95.000000,"Over target",Quarterly,,237616,"	174313",92.390000,,2019-01-06,,2018-09-15,16:39:42
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",26268,"	79688","% of tickets escalated to Tier III Customer Support",Percent,"1 - Customer Satisfaction (Process Results)",,5.000000,5.000000,"Under target",Semi-Annual,,232886,"	174190",19.000000,,2018-10-16,,2018-09-15,16:39:42
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",26269,"	169636","Maintenance Cost Variance from Planned Spend",Percent,"3 - Financial Performance",,20.000000,20.000000,"Under target",Semi-Annual,,232887,"	174197",0.130000,,2018-10-29,,2018-09-15,16:39:42
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",26270,"	170676","Notice of interruption to Public Access system availability within agreed upon timeframe",Percent,"2 - Strategic and Business Results",,99.000000,99.000000,"Over target",Annual,,232888,"	174193",100.000000,,2018-10-18,,2018-09-15,16:39:42
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",26271,"	170678","Improve technology, tools, functionality, and/or business processes",Number,"2 - Strategic and Business Results",,1.000000,1.000000,"Over target",Monthly,,239456,"	174334",9.000000,,2019-03-20,,2018-09-15,16:39:42
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",26272,"	172662","Percent of internal merit review functions accessible through a single portal",Percent,"2 - Strategic and Business Results",,65.000000,65.000000,"Over target",Annual,"422SO18171 - Processes and Operations: Continually improve agency operations",232892,"	174194",79.000000,,2018-10-19,,2018-09-15,16:39:42
422-000001328,852,"01 - Major IT","01 - Not Applicable","	422","National Science Foundation","Mission Support Systems",26273,"	172661","Percent of external merit review functions accessible through a single portal",Percent,"2 - Strategic and Business Results",,25.000000,25.000000,"Over target",Annual,"422SO18171 - Processes and Operations: Continually improve agency operations",232893,"	174196",27.000000,,2018-10-19,,2018-09-15,16:39:42
010-000000226,854,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",1804,,"Time to process Well Modification Permits (APM) &amp;let;&#61; 15 days based on annual average of permits processed","Average number of days","1 - Customer Satisfaction (Process Results)",,15.000000,15.000000,"Under target",Semi-Annual,"010SO18247 - Align DOI organizational structure and workforce to improve partnership engagement and mission delivery",232872,,10.900000,,2018-09-30,n,2018-09-18,19:24:51
010-000000226,854,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",1805,,"Time to process Well Activity Reports (WAR) &amp;let;&#61; 20 days based on annual average of reports processed","Average number of days","2 - Strategic and Business Results",,,,"Under target",Semi-Annual,,167998,,12.180000,"The result was under target.",2016-05-01,y,2017-09-14,11:49:52
010-000000226,854,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",1806,,"75% required NIST 800-53 security controls implemented",Percentage,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,91933,,71.000000,,2014-03-31,y,2017-11-07,15:50:51
010-000000226,854,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",1807,,"75% customer satisfaction",Percentage,"1 - Customer Satisfaction (Process Results)",,75.000000,75.000000,"Over target",Annual,"010SO18247 - Align DOI organizational structure and workforce to improve partnership engagement and mission delivery",232873,,78.000000,,2018-09-18,n,2018-09-18,19:24:51
010-000000226,854,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",1808,,"Maintain the percent of time that TIMS is available to BOEM and BSEE employees.","Percentage available","2 - Strategic and Business Results",,90.000000,30.000000,"Over target",Monthly,"010SO18247 - Align DOI organizational structure and workforce to improve partnership engagement and mission delivery",240142,,98.300000,,2019-02-28,n,2018-09-18,19:24:51
010-000000226,854,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",9899,,"Percentage of inspections that include data proving the inspector used proper check lists of Potential Incidents of Non-Compliance (PINC).",Percentage,"2 - Strategic and Business Results",,30.000000,30.000000,"Over target",Semi-Annual,"010SO18247 - Align DOI organizational structure and workforce to improve partnership engagement and mission delivery",232875,,89.600000,,2018-09-30,n,2018-09-18,19:24:51
010-000000226,854,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",9901,,"Percentage of drilling rigs proposed in drilling permits that have undergone Blowout Preventers (BOP) review.",Percentage,"2 - Strategic and Business Results",,30.000000,30.000000,"Over target",Semi-Annual,"010SO18247 - Align DOI organizational structure and workforce to improve partnership engagement and mission delivery",232876,,87.300000,,2018-09-30,n,2018-09-18,19:24:51
010-000000226,854,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",9903,,"Percentage of inspections available in TIMS database within 1 week following last day of an inspection.",Percentage,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,91943,,0.000000,"We will not be able to provide a report for this measure until the remaining parts of the eInspeciton project are completed and deployed.",2014-03-31,y,2017-09-14,11:49:52
